provider,function,memory,parameter,timestamp,duration,status,id,billed_duration,billed_units,cost,extra
Amazon,fft1024,1024,8192,2018-04-24T10:13:53.514Z,401,0,30a5cc29-47a8-11e8-aca7-b1ae16f9cd46,500,0,8.34E-06,{'mem_used': 33}
Amazon,fft1024,1024,8192,2018-04-25T10:13:56.942Z,556,0,5cffc3e3-4871-11e8-a95e-9f12f0581f4d,600,0,1.00E-05,{'mem_used': 33}
Amazon,fft1024,1024,8192,2018-04-26T10:13:46.681Z,530,0,814f2b5a-493a-11e8-815a-d5201e1e6a3f,600,0,1.00E-05,{'mem_used': 33}
Amazon,fft1024,1024,16384,2018-04-24T10:13:55.480Z,859,0,318c0da7-47a8-11e8-8e2f-33ddc4c876c6,900,0,1.50E-05,{'mem_used': 43}
Amazon,fft1024,1024,16384,2018-04-25T10:13:59.786Z,936,0,5e783344-4871-11e8-b86a-c7b02c7a4284,1000,1,1.67E-05,{'mem_used': 43}
Amazon,fft1024,1024,16384,2018-04-26T10:13:48.839Z,959,0,82572501-493a-11e8-b769-dd8ec1d3ea34,1000,1,1.67E-05,{'mem_used': 42}
Amazon,fft1024,1024,32768,2018-04-24T10:13:58.416Z,1751,0,32c3555b-47a8-11e8-ab2a-9139d19f960d,1800,1,3.00E-05,{'mem_used': 68}
Amazon,fft1024,1024,32768,2018-04-25T10:14:03.237Z,2343,0,5fafef38-4871-11e8-9e46-c9611a8a9adb,2400,2,4.00E-05,{'mem_used': 70}
Amazon,fft1024,1024,32768,2018-04-26T10:13:52.165Z,2142,0,839e23b3-493a-11e8-a4a7-493952ec5533,2200,2,3.67E-05,{'mem_used': 69}
Amazon,fft1024,1024,65536,2018-04-24T10:14:04.338Z,3948,0,34fbb91e-47a8-11e8-a1b6-8f54aaf691be,4000,4,6.67E-05,{'mem_used': 105}
Amazon,fft1024,1024,65536,2018-04-25T10:14:09.084Z,4650,0,61cc18c6-4871-11e8-ad08-e7bd03071e8f,4700,4,7.83E-05,{'mem_used': 106}
Amazon,fft1024,1024,65536,2018-04-26T10:13:58.544Z,4875,0,85ca7997-493a-11e8-b3cf-731de644193a,4900,4,8.17E-05,{'mem_used': 106}
Amazon,fft1024,1024,131072,2018-04-24T10:14:13.294Z,7745,0,380f142e-47a8-11e8-a1b6-8f54aaf691be,7800,7,0.000130026,{'mem_used': 198}
Amazon,fft1024,1024,131072,2018-04-25T10:14:21.688Z,10189,0,6601acc8-4871-11e8-87e0-0f6642f176d3,10200,10,0.000170034,{'mem_used': 189}
Amazon,fft1024,1024,131072,2018-04-26T10:14:11.668Z,9807,0,8aac7a1c-493a-11e8-9637-23a8a5964cac,9900,9,0.000165033,{'mem_used': 185}
Amazon,fft1024,1024,262144,2018-04-24T10:14:27.393Z,12965,0,3d58884d-47a8-11e8-9a3c-31e758a73d05,13000,13,0.00021671,{'mem_used': 281}
Amazon,fft1024,1024,262144,2018-04-25T10:14:46.157Z,23232,0,6cbd9c10-4871-11e8-8cb4-0bba8cd27378,23300,23,0.000388411,{'mem_used': 287}
Amazon,fft1024,1024,262144,2018-04-26T10:14:31.462Z,18634,0,9135c113-493a-11e8-a9e1-67d001a3740c,18700,18,0.000311729,{'mem_used': 234}
Amazon,fft1024,1024,524288,2018-04-24T10:14:57.013Z,27770,0,462cf7a2-47a8-11e8-b604-9b68b1f73093,27800,27,0.000463426,{'mem_used': 419}
Amazon,fft1024,1024,524288,2018-04-25T10:15:35.299Z,47941,0,7b5fa48c-4871-11e8-934e-f5eadfa2a3e0,48000,48,0.00080016,{'mem_used': 477}
Amazon,fft1024,1024,524288,2018-04-26T10:15:07.381Z,34739,0,9d04855b-493a-11e8-8689-f72c8c3a4e77,34800,34,0.000580116,{'mem_used': 445}
Amazon,fft1024,1024,1048576,2018-04-24T10:16:10.337Z,72198,0,576737dd-47a8-11e8-9655-c3ead423f47c,72200,72,0.001203574,{'mem_used': 643}
Amazon,fft1024,1024,1048576,2018-04-25T10:16:04.601Z,46617,0,8d6ebff4-4871-11e8-8f2f-91fc4e2c5ec0,46700,46,0.000778489,{'mem_used': 631}
Amazon,fft1024,1024,1048576,2018-04-26T10:16:38.725Z,94970,0,af475aed-493a-11e8-bdab-b36d29749ec9,95000,95,0.00158365,{'mem_used': 614}
Amazon,fft1024,1024,2097152,2018-04-24T10:18:18.505Z,168951,0,69e65294-47a8-11e8-b0a8-e3b377467d63,169000,169,0.00281723,{'mem_used': 813}
Amazon,fft1024,1024,2097152,2018-04-25T10:18:02.438Z,134240,0,9fa3dab8-4871-11e8-a59c-b7a66a614b2d,134300,134,0.002238781,{'mem_used': 848}
Amazon,fft1024,1024,2097152,2018-04-26T10:19:02.425Z,209032,0,c138dc85-493a-11e8-bc3a-59dda23a9f6c,209100,209,0.003485697,{'mem_used': 814}
Amazon,fft128,128,8192,2018-04-24T10:00:14.046Z,2313,0,470e1b57-47a6-11e8-a8d6-8756ab80adab,2400,0,5.00E-06,{'mem_used': 33}
Amazon,fft128,128,8192,2018-04-25T10:00:16.600Z,2718,0,72c4cd56-486f-11e8-aec4-a9e5a2e9a4f8,2800,0,5.83E-06,{'mem_used': 33}
Amazon,fft128,128,8192,2018-04-26T10:00:15.230Z,2159,0,9cb11fdc-4938-11e8-a06b-71650b40ced8,2200,0,4.58E-06,{'mem_used': 32}
Amazon,fft128,128,16384,2018-04-24T10:00:19.327Z,4016,0,4932f6ce-47a6-11e8-9377-aff04151d3b7,4100,0,8.54E-06,{'mem_used': 43}
Amazon,fft128,128,16384,2018-04-25T10:00:23.297Z,5043,0,755f9c4d-486f-11e8-8c22-bd77523bfa7a,5100,0,1.06E-05,{'mem_used': 43}
Amazon,fft128,128,16384,2018-04-26T10:00:20.330Z,3997,0,9ea2b6f1-4938-11e8-96b0-cb28870a5f70,4000,0,8.34E-06,{'mem_used': 42}
Amazon,fft128,128,32768,2018-04-24T10:00:29.706Z,8499,0,4cb343aa-47a6-11e8-a91c-851cbc579374,8500,1,1.77E-05,{'mem_used': 59}
Amazon,fft128,128,32768,2018-04-25T10:00:34.957Z,10328,0,792ca9f2-486f-11e8-abe7-a3ee9fae45ff,10400,1,2.17E-05,{'mem_used': 57}
Amazon,fft128,128,32768,2018-04-26T10:00:30.410Z,8302,0,a2140fa5-4938-11e8-9358-73aaa652a114,8400,1,1.75E-05,{'mem_used': 59}
Amazon,fft128,128,65536,2018-04-24T10:00:49.086Z,17910,0,52a4b845-47a6-11e8-bfcc-f73ddff263ba,18000,2,3.75E-05,{'mem_used': 81}
Amazon,fft128,128,65536,2018-04-25T10:00:59.236Z,22765,0,803903d7-486f-11e8-acea-5b4f0e026b62,22800,2,4.75E-05,{'mem_used': 67}
Amazon,fft128,128,65536,2018-04-26T10:00:49.532Z,17994,0,a7b2d05d-4938-11e8-9a83-cff1e3b16a10,18000,2,3.75E-05,{'mem_used': 81}
Amazon,fft128,128,131072,2018-04-24T10:01:30.366Z,39695,0,5e42cee4-47a6-11e8-8fd8-09dce65d4f6f,39700,4,8.27E-05,{'mem_used': 112}
Amazon,fft128,128,131072,2018-04-25T10:01:52.500Z,51586,0,8ecbf0f2-486f-11e8-87e7-1b0d1c1b13e5,51600,6,0.000107522,{'mem_used': 107}
Amazon,fft128,128,131072,2018-04-26T10:01:29.774Z,38823,0,b34527f2-4938-11e8-a0fb-07f13268905c,38900,4,8.11E-05,{'mem_used': 112}
Amazon,fft128,128,262144,2018-04-24T10:02:56.867Z,95624,0,704e8f6e-47a6-11e8-8566-6b83bb6a61d9,95700,11,0.000199415,{'mem_used': 128}
Amazon,fft128,128,262144,2018-04-25T10:03:49.656Z,137957,0,a0f28c97-486f-11e8-81c8-33612ca52689,138000,17,0.000287558,{'mem_used': 128}
Amazon,fft128,128,262144,2018-04-26T10:02:48.401Z,86776,0,c55861a2-4938-11e8-82af-570a8b450669,86800,10,0.000180869,{'mem_used': 128}
Amazon,fft2048,2048,8192,2018-04-24T10:18:05.341Z,147,0,c6e1ba46-47a8-11e8-a6a5-73556da3e660,200,0,6.67E-06,{'mem_used': 35}
Amazon,fft2048,2048,8192,2018-04-25T10:17:54.356Z,195,0,eabe6332-4871-11e8-989b-453582998f28,200,0,6.67E-06,{'mem_used': 35}
Amazon,fft2048,2048,8192,2018-04-26T10:17:38.211Z,199,0,0b87b028-493b-11e8-93ef-9b8889177395,200,0,6.67E-06,{'mem_used': 35}
Amazon,fft2048,2048,16384,2018-04-24T10:18:06.802Z,255,0,c7b07c10-47a8-11e8-9a60-6755df27feb6,300,0,1.00E-05,{'mem_used': 44}
Amazon,fft2048,2048,16384,2018-04-25T10:17:55.833Z,351,0,eb87a5d6-4871-11e8-b288-219fe91ea70e,400,0,1.33E-05,{'mem_used': 45}
Amazon,fft2048,2048,16384,2018-04-26T10:17:40.397Z,361,0,0cbd22b0-493b-11e8-9a83-cff1e3b16a10,400,0,1.33E-05,{'mem_used': 45}
Amazon,fft2048,2048,32768,2018-04-24T10:18:08.548Z,545,0,c88e3248-47a8-11e8-b2f4-4f49ce0ce438,600,1,2.00E-05,{'mem_used': 71}
Amazon,fft2048,2048,32768,2018-04-25T10:17:57.637Z,752,0,ec5dbb07-4871-11e8-b2f4-4f49ce0ce438,800,1,2.67E-05,{'mem_used': 71}
Amazon,fft2048,2048,32768,2018-04-26T10:17:42.324Z,775,0,0da42754-493b-11e8-aa20-37b7a21a14ce,800,1,2.67E-05,{'mem_used': 71}
Amazon,fft2048,2048,65536,2018-04-24T10:18:10.884Z,1164,0,c994307e-47a8-11e8-8d78-9deccd4c1e8f,1200,2,4.00E-05,{'mem_used': 108}
Amazon,fft2048,2048,65536,2018-04-25T10:18:00.984Z,1599,0,eddb5a45-4871-11e8-b45e-a77f5a0b6107,1600,3,5.33E-05,{'mem_used': 107}
Amazon,fft2048,2048,65536,2018-04-26T10:17:45.328Z,1619,0,0eed982d-493b-11e8-9f73-fb8238aff2dd,1700,3,5.67E-05,{'mem_used': 108}
Amazon,fft2048,2048,131072,2018-04-24T10:18:14.586Z,2485,0,caff8080-47a8-11e8-98f4-4bdd65669c48,2500,5,8.34E-05,{'mem_used': 192}
Amazon,fft2048,2048,131072,2018-04-25T10:18:05.588Z,3456,0,ef7e82a8-4871-11e8-9903-079e1ff92cd1,3500,7,0.00011669,{'mem_used': 186}
