provider,function,memory,parameter,timestamp,duration,status,id,billed_duration,billed_units,cost,extra
Amazon,sleep1024,1024,1024,2018-04-24T10:50:44.002Z,1026,0,55cf66fd-47ad-11e8-8dcb-ef52839049f2,1100,1,1.83E-05,{'mem_used': 27}
Amazon,sleep1024,1024,1024,2018-04-25T10:52:37.581Z,1027,0,c3f3686e-4876-11e8-9a6e-05f0bf85da14,1100,1,1.83E-05,{'mem_used': 28}
Amazon,sleep1024,1024,1024,2018-04-26T10:52:18.387Z,1026,0,e2ea6793-493f-11e8-80e5-891b7a18d933,1100,1,1.83E-05,{'mem_used': 27}
Amazon,sleep1024,1024,128,2018-04-24T10:50:38.138Z,129,0,52da910e-47ad-11e8-8efe-238a13193349,200,0,3.33E-06,{'mem_used': 27}
Amazon,sleep1024,1024,128,2018-04-25T10:52:32.422Z,129,0,c1689fb7-4876-11e8-89d0-5b274b3b6b69,200,0,3.33E-06,{'mem_used': 28}
Amazon,sleep1024,1024,128,2018-04-26T10:52:12.947Z,129,0,e034e4ad-493f-11e8-9cc1-dda6c3fcedc2,200,0,3.33E-06,{'mem_used': 27}
Amazon,sleep1024,1024,16,2018-04-24T10:50:34.255Z,17,0,509b2819-47ad-11e8-a928-2bd30ae89328,100,0,1.67E-06,{'mem_used': 26}
Amazon,sleep1024,1024,16,2018-04-25T10:52:28.057Z,17,0,bee01f27-4876-11e8-abd5-cf7dd649f637,100,0,1.67E-06,{'mem_used': 28}
Amazon,sleep1024,1024,16,2018-04-26T10:52:08.505Z,17,0,dda0083a-493f-11e8-bfaf-113faf02ba7d,100,0,1.67E-06,{'mem_used': 27}
Amazon,sleep1024,1024,2,2018-04-24T10:50:30.830Z,3,0,4e8fc7a2-47ad-11e8-b438-47471074ec0a,100,0,1.67E-06,{'mem_used': 26}
Amazon,sleep1024,1024,2,2018-04-25T10:52:24.363Z,4,0,bcae246d-4876-11e8-a567-7bc78bf8b55d,100,0,1.67E-06,{'mem_used': 28}
Amazon,sleep1024,1024,2,2018-04-26T10:52:04.654Z,4,0,db56669d-493f-11e8-8cdc-bb76a5896030,100,0,1.67E-06,{'mem_used': 26}
Amazon,sleep1024,1024,2048,2018-04-24T10:50:47.199Z,2051,0,571b6ee4-47ad-11e8-834c-33119bd68dee,2100,2,3.50E-05,{'mem_used': 27}
Amazon,sleep1024,1024,2048,2018-04-25T10:52:41.546Z,2051,0,c5b45325-4876-11e8-a7ab-8140dcea2d32,2100,2,3.50E-05,{'mem_used': 28}
Amazon,sleep1024,1024,2048,2018-04-26T10:52:22.241Z,2052,0,e49976b3-493f-11e8-91ca-d13fc0e6585f,2100,2,3.50E-05,{'mem_used': 27}
Amazon,sleep1024,1024,256,2018-04-24T10:50:39.954Z,257,0,53dc4977-47ad-11e8-b576-c96e8e53c48a,300,0,5.00E-06,{'mem_used': 27}
Amazon,sleep1024,1024,256,2018-04-25T10:52:33.814Z,258,0,c229a4f7-4876-11e8-b6dd-a9ea37a02b31,300,0,5.00E-06,{'mem_used': 28}
Amazon,sleep1024,1024,256,2018-04-26T10:52:14.410Z,258,0,e1004a21-493f-11e8-b1b7-2b29767bccba,300,0,5.00E-06,{'mem_used': 27}
Amazon,sleep1024,1024,32,2018-04-24T10:50:35.396Z,33,0,51465c99-47ad-11e8-b1b2-4724f971e501,100,0,1.67E-06,{'mem_used': 27}
Amazon,sleep1024,1024,32,2018-04-25T10:52:29.758Z,33,0,bfe114f8-4876-11e8-9330-ed46894fa92f,100,0,1.67E-06,{'mem_used': 28}
Amazon,sleep1024,1024,32,2018-04-26T10:52:10.377Z,34,0,debb8a67-493f-11e8-90a8-c941d3002c6a,100,0,1.67E-06,{'mem_used': 27}
Amazon,sleep1024,1024,4,2018-04-24T10:50:31.935Z,4,0,4f3a8738-47ad-11e8-b039-c33a04af768e,100,0,1.67E-06,{'mem_used': 26}
